  0.00000000 103.88149720  98.33265805 
  0.00024414  96.38726318  80.28411472 
  0.00048828 100.82212901  60.20959538 
  0.00073242 103.92849157  69.56019075 
  0.00097656  77.47430280  65.28247076 
  0.00122070  73.23976623  32.94317251 
  0.00146484  76.91646227  35.48951379 
  0.00170898  68.65138434  55.74524940 
  0.00195312  49.48867584  41.53514602 
  0.00219727  60.61452232  26.68171338 
  0.00244141  61.07319853  41.18459409 
  0.00268555  56.94668081  72.95659376 
  0.00292969  61.23223409  56.22313441 
  0.00317383  68.84694870  49.08448798 
  0.00341797  58.75135969  62.89479408 
  0.00366211  39.27062725  52.25475954 
  0.00390625  40.26433991  26.98385219 
  0.00415039  53.20736551  42.57082986 
  0.00439453  37.66768072  55.15034710 
  0.00463867  27.67409749  28.79611209 
  0.00488281  37.44498446  23.50673319 
  0.00512695  33.84274246  45.09108819 
  0.00537109  16.87557618  42.70639325 
  0.00561523  28.13853820  13.43570690 
  0.00585938  44.82366511  40.43385921 
  0.00610352  32.50038632  55.63548626 
  0.00634766  18.23206467  29.81932461 
  0.00659180  29.34572765  12.25888879 
  0.00683594  34.19291191  30.74705461 
  0.00708008  18.06131825  27.02560919 
  0.00732422  12.58068090  -0.01978067 
  0.00756836  12.51665731   9.60501057 
  0.00781250  -2.79858304  21.19427712 
  0.00805664 -23.68885103  -4.18704578 
  0.00830078 -33.77547357 -19.42511306 
  0.00854492 -18.35988583  -7.09030208 
  0.00878906 -31.65613959   3.17240010 
  0.00903320 -43.78141007   1.46943647 
  0.00927734 -24.76499655   9.19167189 
  0.00952148 -24.29293974  28.45274536 
  0.00976562 -30.83067501  26.37682241 
  0.01000977 -17.12101455   7.24910682 
  0.01025391  -0.72886306  26.56066618 
  0.01049805  -9.52406577  32.33374393 
  0.01074219 -23.24240753   5.79103080 
  0.01098633 -14.07310880   2.44653694 
  0.01123047  -7.37458660  11.74341148 
  0.01147461  -2.05019259  -0.80208176 
  0.01171875  -2.16219370 -23.89131649 
  0.01196289  12.74089784  15.02416890 
  0.01220703   7.81076850  48.53112689 
  0.01245117   6.81749364  28.72073794 
  0.01269531  23.98071397  21.81394162 
  0.01293945  26.69354907  40.39287581 
  0.01318359  17.35332841  38.73754751 
  0.01342773   6.99435386   2.63989336 
  0.01367188  18.74335545  13.05611273 
  0.01391602  14.48649490  22.65498813 
  0.01416016   5.24878414   1.60221094 
  0.01440430  34.84091074   0.42321243 
  0.01464844  50.18542471  25.09903820 
  0.01489258  37.99214402  25.51859202 
  0.01513672  36.53689964  31.95776153 
  0.01538086  49.66701973  50.91928617 
  0.01562500  60.88002698  73.19921587 
  0.01586914  49.63550008  48.66784158 
  0.01611328  54.24216993  39.05716620 
  0.01635742  76.47668733  53.46997994 
  0.01660156  78.49652284  62.73208012 
  0.01684570  72.68183394  38.83007634 
  0.01708984 105.71037656  39.26414689 
  0.01733398 132.41173464  59.73168328 
  0.01757812 114.79112249  48.27002515 
  0.01782227 113.37280043  24.39003411 
  0.01806641 111.66518865  46.55790378 
  0.01831055  99.93356997  67.43161453 
  0.01855469  81.04330667  40.77609391 
  0.01879883  76.39292840  29.96768631 
  0.01904297  82.33303096  52.85481048 
  0.01928711  63.42047505  49.17470010 
  0.01953125  54.39619372  28.28847666 
  0.01977539  80.39742777  46.95999553 
  0.02001953  86.82426225  59.65077742 
  0.02026367  85.10617999  37.92453179 
  0.02050781  90.50642345  24.49332112 
  0.02075195  92.28591721  48.64822399 
  0.02099609  68.96139293  39.73140316 
  0.02124023  54.97941688  25.00526049 
  0.02148438  58.95455799  42.68620632 
